# TOTAL_GENES = 16863
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16863     0.014728     0.025724     0.011908       0.1081 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16863    0.0070242     0.012058     0.012245      0.28312 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16863   -0.0015659   -0.0027525     0.010665      0.55836 Adrenal_Gland
Artery_Aorta                        COVAR   16863      0.02081     0.036213     0.011489     0.035059 Artery_Aorta
Artery_Coronary                     COVAR   16863     0.018068     0.031038     0.013261     0.086534 Artery_Coronary
Artery_Tibial                       COVAR   16863    0.0037113    0.0064783     0.011256      0.37081 Artery_Tibial
Bladder                             COVAR   16863   -0.0086243    -0.014688     0.013309      0.74151 Bladder
Brain_Amygdala                      COVAR   16863   -0.0078451    -0.012351    0.0088392       0.8126 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16863   -0.0064563    -0.010454    0.0080376      0.78908 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16863    -0.010178    -0.016244    0.0087724      0.87702 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16863   -0.0051278   -0.0090991    0.0066824      0.77856 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16863   -0.0061013    -0.010753    0.0068807      0.81238 Brain_Cerebellum
Brain_Cortex                        COVAR   16863   -0.0030169   -0.0050353    0.0077841      0.65083 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16863   -0.0029859   -0.0049833    0.0076025      0.65275 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16863    -0.006391   -0.0099939    0.0089024      0.76358 Brain_Hippocampus
