GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs679515	1	207692049	rs6656401	2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	1q32.2	CR1	CR1			1378			rs6656401-A	rs6656401	0	6656401	intron_variant	0	0.197	6E-24	23.221848749616356		1.18	[1.14-1.22]	Illumina [7055881] (imputed)	N
1	rs679515	1	207692049	rs6656401	2018-04-30	28714976	Sims R	2017-09-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28714976	Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.	Alzheimer's disease (late onset)	up to 16,097 European ancestry cases, up to 18,077 European ancestry controls	up to 20,693 European ancestry cases, up to 30,266 European ancestry controls	1q32.2	CR1	CR1			1378			rs6656401-?	rs6656401	0	6656401	intron_variant	0	NR	7E-11	10.154901959985743		1.1725225		Illumina [241551]	N
1	rs679515	1	207692049	rs6656401	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	1q32.2	NR	CR1			1378			rs6656401-?	rs6656401	0	6656401	intron_variant	0	NR	1E-8	8.0		1.0571748		Affymetrix [7795605] (imputed)	N
1	rs679515	1	207692049	rs6656401	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Maternal history of Alzheimer's disease	27,696 British ancestry cases, 260,980 British ancestry controls	NA	1q32.2	NR	CR1			1378			rs6656401-?	rs6656401	0	6656401	intron_variant	0	NR	1E-6	6.0		1.0611985	NR	Affymetrix [7795605] (imputed)	N
1	rs679515	1	207750568	rs679515	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4+ carriers	10,352 cases, 9,207 controls	1,250 European ancestry cases, 536 European ancestry controls	1q32.2	CR1	CR1			1378			rs679515-T	rs679515	0	679515	intron_variant	0	0.21	4E-9	8.397940008672037		1.22	[1.14-1.30]	NR [NR]	N
1	rs679515	1	207750568	rs679515	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	1q32.2	NR	CR1			1378			rs679515-?	rs679515	0	679515	intron_variant	0	NR	5E-9	8.301029995663981		1.06	[1.04, 1.08]	Affymetrix [7795605] (imputed)	N
1	rs679515	1	207784968	rs3818361	2011-05-02	21460840	Hollingworth P	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460840	Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.	Alzheimer's disease	6,688 European ancestry cases, 13,685 European ancestry controls	13,182 European ancestry cases, 26,161 European ancestry controls	1q32.2	CR1	CR1			1378			rs3818361-?	rs3818361	0	3818361	intron_variant	0	0.19	4E-14	13.397940008672037		1.18	[1.13-1.24]	Affymetrix, Illumina [496763]	N
1	rs679515	1	207786289	rs6701713	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	1q32.2	CR1	CR1			1378			rs6701713-A	rs6701713	0	6701713	intron_variant	0	0.20	5E-10	9.301029995663981		1.16	[1.11-1.22]	Affymetrix, Illumina [2324889] (imputed)	N
1	rs679515	1	207786289	rs6701713	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	1q32.2	NR	CR1			1378			rs6701713-?	rs6701713	0	6701713	intron_variant	0	NR	9E-24	23.045757490560675				Affymetrix [7795605] (imputed)	N
1	rs679515	1	207786289	rs6701713	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	1q32.2	NR	CR1			1378			rs6701713-?	rs6701713	0	6701713	intron_variant	0	NR	8E-9	8.096910013008056				Affymetrix [7795605] (imputed)	N
1	rs11118328	1	207850539	rs11118328	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	1q32.2	NR	CR1L			1379			rs11118328-?	rs11118328	0	11118328	intron_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs1060743	2	127826533	rs1060743	2018-04-30	28714976	Sims R	2017-09-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28714976	Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.	Alzheimer's disease (late onset)	up to 16,097 European ancestry cases, up to 18,077 European ancestry controls	up to 20,693 European ancestry cases, up to 30,266 European ancestry controls	2q14.3	BIN1	BIN1			274			rs1060743-?	rs1060743	0	1060743	synonymous_variant	0	NR	5E-8	7.301029995663981		1.1066935		Illumina [241551]	N
2	rs1060743	2	127826533	rs1060743	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	BIN1			274			rs1060743-?	rs1060743	0	1060743	synonymous_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs35103166	2	127842607	rs11694743	2018-11-16	30072576	Emilsson V	2018-08-02	Science	www.ncbi.nlm.nih.gov/pubmed/30072576	Co-regulatory networks of human serum proteins link genetics to disease.	Blood protein levels	3,200 European ancestry individuals	NA	2q14.3	BIN1	BIN1			274			rs11694743-A	rs11694743	0	11694743	intron_variant	0	0.623	1E-7	7.0	(BIN1)	0.135	[0.084-0.186] unit decrease	Illumina [> 1000000] (imputed)	N
2	rs11680911	2	127862133	rs6431219	2018-07-03	29356057	Du Z	2018-01-21	Prostate	www.ncbi.nlm.nih.gov/pubmed/29356057	Genetic risk of prostate cancer in Ugandan men.	Prostate cancer	560 Ugandan ancestry cases, 480 Ugandan ancestry controls	NA	2q14.3	NR	BIN1			274			rs6431219-C	rs6431219	0	6431219	intron_variant	0	0.51	8E-6	5.096910013008056		1.55	[1.28-1.88]	Illumina [17125421] (imputed)	N
2	rs11680911	2	127862133	rs6431219	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	BIN1			274			rs6431219-?	rs6431219	0	6431219	intron_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	chr2:127886546:D	2	127865100	rs13032148	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	Creatine kinase levels	106,080 Japanese ancestry individuals	NA	2q14.3	BIN1	LOC105373605			105373605			rs13032148-?	rs13032148	0	13032148	regulatory_region_variant	0	NR	1E-9	9.0		0.0289	[0.02-0.038] unit increase novel	Illumina [6108953] (imputed)	N
2	chr2:127865132:D	2	127878432	rs4663099	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs4663099-?	rs4663099	0	4663099	intergenic_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs35103166	2	127882182	rs35103166	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs35103166-?	rs35103166	0	35103166	intergenic_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs719054	2	127885247	rs58682665	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs58682665-?	rs58682665	0	58682665	intergenic_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	chr2:127886546:D	2	127886233	rs13025765	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs13025765-?	rs13025765	0	13025765	regulatory_region_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs6710467	2	127887985	rs12989701	2011-04-06	21390209	Hu X	2011-02-24	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21390209	Meta-analysis for genome-wide association study identifies multiple variants at the BIN1 locus associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	1,831 European ancestry cases, 1,764 European ancestry controls	751 cases, 751 controls	2q14.3	BIN1	LOC105373605			105373605			rs12989701-?	rs12989701	0	12989701	regulatory_region_variant	0	NR	3E-10	9.522878745280337		1.23	[NR]	Affymetrix, Illumina [NR] (imputed)	N
2	rs11680911	2	127889637	rs7561528	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	2q14.3	BIN1	LOC105373605			105373605			rs7561528-A	rs7561528	0	7561528	intergenic_variant	0	0.35	4E-14	13.397940008672037		1.17	[1.13-1.22]	Affymetrix, Illumina [2324889] (imputed)	N
2	rs11680911	2	127889637	rs7561528	2012-08-14	22832961	Kamboh MI	2012-05-15	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/22832961	Genome-wide association study of Alzheimer's disease.	Alzheimer's disease	1,291 European ancestry cases, 938 European ancestry controls	509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls	2q14.3	BIN1	LOC105373605			105373605			rs7561528-?	rs7561528	0	7561528	intergenic_variant	0	NR	6E-11	10.221848749616356		1.25	[NR]	Illumina [2543888] (imputed)	N
2	rs6733839	2	127891427	rs4663105	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4- carriers	7,184 cases, 26,968 controls	718 European ancestry cases, 1,699 European ancestry controls	2q14.3	BIN1	LOC105373605			105373605			rs4663105-C	rs4663105	0	4663105	intergenic_variant	0	0.43	2E-12	11.698970004336019		1.19	[1.13-1.24]	NR [NR]	N
2	rs6733839	2	127892810	rs6733839	2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	2q14.3	BIN1	LOC105373605			105373605			rs6733839-T	rs6733839	0	6733839	regulatory_region_variant	0	0.409	7E-44	43.15490195998574		1.22	[1.18-1.25]	Illumina [7055881] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2015-07-28	25188341	Beecham GW	2014-09-04	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/25188341	Genome-wide association meta-analysis of neuropathologic features of Alzheimer's disease and related dementias.	Dementia and core Alzheimer's disease neuropathologic changes	up to 3,887 cases, up to 1,027 controls	NA	2q14.3	BIN1	LOC105373605			105373605			rs6733839-T	rs6733839	0	6733839	regulatory_region_variant	0	0.43	3E-6	5.522878745280337	(Primary)	0.3288	[0.19-0.47] unit increase	Affymetrix, Illumina [NR] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4+ carriers	10,352 cases, 9,207 controls	1,250 European ancestry cases, 536 European ancestry controls	2q14.3	BIN1	LOC105373605			105373605			rs6733839-T	rs6733839	0	6733839	regulatory_region_variant	0	0.41	1E-9	9.0		1.2	[1.13-1.27]	NR [NR]	N
2	rs6733839	2	127892810	rs6733839	2018-04-17	29458411	Chung J	2018-02-20	Alzheimers Res Ther	www.ncbi.nlm.nih.gov/pubmed/29458411	Genome-wide pleiotropy analysis of neuropathological traits related to Alzheimer's disease.	Neuritic plaques or neurofibrillary tangles (pleiotropy)	3,135 European ancestry Alzheimer's disease cases, 463 European ancestry controls	NA	2q14.3	BIN1	LOC105373605			105373605			rs6733839-?	rs6733839	0	6733839	regulatory_region_variant	0	NR	2E-7	6.698970004336019				NR [6500000] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs6733839-?	rs6733839	0	6733839	regulatory_region_variant	0	NR	2E-64	63.69897000433602		1.1470575	[1.12899064608461-1.16541354700668]	Affymetrix [7795605] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	2q14.3	NR	LOC105373605			105373605			rs6733839-?	rs6733839	0	6733839	regulatory_region_variant	0	NR	1E-27	27.0		1.1140478		Affymetrix [7795605] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Maternal history of Alzheimer's disease	27,696 British ancestry cases, 260,980 British ancestry controls	NA	2q14.3	NR	LOC105373605			105373605			rs6733839-?	rs6733839	0	6733839	regulatory_region_variant	0	NR	4E-21	20.397940008672037		1.1225677	NR	Affymetrix [7795605] (imputed)	N
2	rs6733839	2	127892810	rs6733839	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Paternal history of Alzheimer's disease	14,338 British ancestry cases, 245,941 British ancestry controls	NA	2q14.3	NR	LOC105373605			105373605			rs6733839-?	rs6733839	0	6733839	regulatory_region_variant	0		2E-8	7.698970004336019		1.0982196	NR	Affymetrix [7795605] (imputed)	N
2	rs745717	2	127893897	rs745717	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605			105373605			rs745717-?	rs745717	0	745717	intergenic_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs11680911	2	127894484	rs730482	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	2q14.3	NR	LOC105373605 - NIFKP9	105373605	106480805		401	33103	rs730482-?	rs730482	0	730482	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
2	rs11680911	2	127894615	rs744373	2011-04-06	21390209	Hu X	2011-02-24	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21390209	Meta-analysis for genome-wide association study identifies multiple variants at the BIN1 locus associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	1,831 European ancestry cases, 1,764 European ancestry controls	751 cases, 751 controls	2q14.3	BIN1	LOC105373605 - NIFKP9	105373605	106480805		532	32972	rs744373-?	rs744373	0	744373	intergenic_variant	1	NR	1E-10	10.0		1.19	[NR]	Affymetrix, Illumina [NR] (imputed)	N
2	rs11680911	2	127894615	rs744373	2011-05-02	21460840	Hollingworth P	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460840	Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.	Alzheimer's disease	6,688 European ancestry cases, 13,685 European ancestry controls	13,182 European ancestry cases, 26,161 European ancestry controls	2q14.3	BIN1	LOC105373605 - NIFKP9	105373605	106480805		532	32972	rs744373-?	rs744373	0	744373	intergenic_variant	1	0.29	3E-14	13.522878745280337		1.17	[1.12-1.21]	Affymetrix, Illumina [496763]	N
2	rs11680911	2	127894615	rs744373	2011-06-23	21627779	Antunez C	2011-05-31	Genome Med	www.ncbi.nlm.nih.gov/pubmed/21627779	The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.	Alzheimer's disease	319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls	4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls	2q14.3	BIN1	LOC105373605 - NIFKP9	105373605	106480805		532	32972	rs744373-?	rs744373	0	744373	intergenic_variant	1	NR	2E-9	8.698970004336019		1.18	[NR]	Affymetrix, Illumina [696707] (imputed)	N
3	rs114812713	6	41034000	rs114812713	2018-11-16	30072576	Emilsson V	2018-08-02	Science	www.ncbi.nlm.nih.gov/pubmed/30072576	Co-regulatory networks of human serum proteins link genetics to disease.	Blood protein levels	3,200 European ancestry individuals	NA	6p21.1	TREM2	APOBEC2 - OARD1	10930	221443		1370	531	rs114812713-G	rs114812713	0	114812713	3_prime_UTR_variant	1	0.955	3E-10	9.522878745280337	(TREM2)	0.36	[0.25-0.47] unit increase	Illumina [> 1000000] (imputed)	N
