RefSeq_ID	Entrez_Gene_ID	Symbol	Probe_Id	Chromosome	Probe_Coordinates	Definition
NM_020432.2	57157	PHTF2	ILMN_2161508	7	77422797-77422846	Homo sapiens putative homeodomain transcription factor 2 (PHTF2), mRNA.
NM_017583.3	54765	TRIM44	ILMN_1796063	11	35786070-35786119	Homo sapiens tripartite motif-containing 44 (TRIM44), mRNA.
NM_001013579.1	158833	DGAT2L3	ILMN_1668162	X	69376459-69376508	Homo sapiens diacylglycerol O-acyltransferase 2-like 3 (DGAT2L3), mRNA.
NM_015492.4	56905	C15orf39	ILMN_1793729	15	73290721-73290770	Homo sapiens chromosome 15 open reading frame 39 (C15orf39), mRNA.
NM_018921.2	56107	PCDHGA9	ILMN_2296644	5	140782854-140782903	Homo sapiens protocadherin gamma subfamily A, 9 (PCDHGA9), transcript variant 1, mRNA.
NM_018921.2	56107	PCDHGA9	ILMN_1711283	5	140764923-140764972	Homo sapiens protocadherin gamma subfamily A, 9 (PCDHGA9), transcript variant 1, mRNA.
NM_020799.2	57559	STAMBPL1	ILMN_1682799	10	90664362-90664395:90665200-90665215	Homo sapiens STAM binding protein-like 1 (STAMBPL1), mRNA.
NM_001007532.1	246744	STH	ILMN_1665311	17	41432579-41432628	Homo sapiens saitohin (STH), mRNA.
XM_001128725.1	7364	UGT2B7	ILMN_1679194			PREDICTED: Homo sapiens UDP glucuronosyltransferase 2 family, polypeptide B7 (UGT2B7), mRNA.
XM_001128725.1	7364	UGT2B7	ILMN_1755897			PREDICTED: Homo sapiens UDP glucuronosyltransferase 2 family, polypeptide B7 (UGT2B7), mRNA.
NM_001022.3	6223	RPS19	ILMN_1784717	19	42373779-42373823:42375419-42375423	Homo sapiens ribosomal protein S19 (RPS19), mRNA.
NM_012347.4	26268	FBXO9	ILMN_1667120	6	52935803-52935821:52935822-52935852	Homo sapiens F-box protein 9 (FBXO9), transcript variant 1, mRNA.
NM_012347.4	26268	FBXO9	ILMN_1702928	6	52964225-52964274	Homo sapiens F-box protein 9 (FBXO9), transcript variant 1, mRNA.
NM_152281.1	92344	SCYL1BP1	ILMN_2121316	1	168788779-168788828	Homo sapiens SCY1-like 1 binding protein 1 (SCYL1BP1), mRNA.
XM_932949.2	64283	RGNEF	ILMN_1807467	5	73172341-73172341:73177849-73177897	PREDICTED: Homo sapiens Rho-guanine nucleotide exchange factor, transcript variant 2 (RGNEF), mRNA.
XM_932949.2	64283	RGNEF	ILMN_1652609	5	73240995-73241044	PREDICTED: Homo sapiens Rho-guanine nucleotide exchange factor, transcript variant 2 (RGNEF), mRNA.
NM_174926.1	219902	TMEM136	ILMN_1815346	11	119706365-119706414	Homo sapiens transmembrane protein 136 (TMEM136), mRNA.
NM_002733.3	5571	PRKAG1	ILMN_1751984	12	49396414-49396463	Homo sapiens protein kinase, AMP-activated, gamma 1 non-catalytic subunit (PRKAG1), transcript variant 1, mRNA.
NR_002315.1	440926	LOC440926	ILMN_2402936	2	175293444-175293493	Homo sapiens H3 histone, family 3A pseudogene (LOC440926), non-coding RNA.
NM_001006945.1	55791	C1orf103	ILMN_2385662	1	111490588-111490637	Homo sapiens chromosome 1 open reading frame 103 (C1orf103), transcript variant 2, mRNA.
NM_030752.2	6950	TCP1	ILMN_2313434	6	160199673-160199722	Homo sapiens t-complex 1 (TCP1), transcript variant 1, mRNA.
NM_001018060.1	150209	AIFM3	ILMN_1704173	22	19665320-19665320:19665321-19665369	Homo sapiens apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.
NM_145001.2	202374	STK32A	ILMN_1756612	5	146683783-146683827:146702762-146702766	Homo sapiens serine/threonine kinase 32A (STK32A), mRNA.
NM_018317.1	55296	TBC1D19	ILMN_1692844	4	26364551-26364600	Homo sapiens TBC1 domain family, member 19 (TBC1D19), mRNA.
NM_024710.1	79763	ISOC2	ILMN_1769158	19	60656282-60656331	Homo sapiens isochorismatase domain containing 2 (ISOC2), mRNA.
NM_000319.3	5830	PEX5	ILMN_1660232	12	7255160-7255209	Homo sapiens peroxisomal biogenesis factor 5 (PEX5), mRNA.
NM_004153.2	4998	ORC1L	ILMN_1727459	1	52838934-52838983	Homo sapiens origin recognition complex, subunit 1-like (yeast) (ORC1L), mRNA.
NM_002313.5	3983	ABLIM1	ILMN_1696682	10	116417825-116417874	Homo sapiens actin binding LIM protein 1 (ABLIM1), transcript variant 1, mRNA.
NM_015132.3	23161	SNX13	ILMN_1797082	7	17799924-17799973	Homo sapiens sorting nexin 13 (SNX13), mRNA.
NM_173685.1	286053	NSMCE2	ILMN_1693210	8	126448336-126448385	Homo sapiens non-SMC element 2, MMS21 homolog (S. cerevisiae) (NSMCE2), mRNA.
NM_147148.1	2948	GSTM4	ILMN_1651800	1	110009374-110009423	Homo sapiens glutathione S-transferase M4 (GSTM4), transcript variant 2, mRNA.
NM_177553.1	2620	GAS2	ILMN_1652852	11	22646291-22646340	Homo sapiens growth arrest-specific 2 (GAS2), transcript variant 2, mRNA.
NM_001163.2	320	APBA1	ILMN_2182656	9	71235174-71235223	Homo sapiens amyloid beta (A4) precursor protein-binding, family A, member 1 (X11) (APBA1), mRNA.
NM_022894.2	64895	PAPOLG	ILMN_1786275	2	60879402-60879451	Homo sapiens poly(A) polymerase gamma (PAPOLG), mRNA.
NM_144659.4	140290	TCP10L	ILMN_1754656	21	32870965-32871014	Homo sapiens t-complex 10 (mouse)-like (TCP10L), mRNA.
NM_001959.2	1933	EEF1B2	ILMN_1694587	2	206733597-206733646	Homo sapiens eukaryotic translation elongation factor 1 beta 2 (EEF1B2), transcript variant 1, mRNA.
